iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 07, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"813,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LIN","LINDE PLC","Materials","Equity","1,845,682,200.40","0.52","1,845,682,200.40","4,741,028.00","389.30","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","1,780,987,337.30","0.50","1,780,987,337.30","15,698,434.00","113.45","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,722,135,304.32","0.48","1,722,135,304.32","3,749,968.00","459.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,714,312,750.00","0.48","1,714,312,750.00","54,858,008.00","31.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,681,152,694.40","0.47","1,681,152,694.40","39,989,360.00","42.04","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","1,667,122,592.94","0.47","1,667,122,592.94","15,296,106.00","108.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,598,448,206.40","0.45","1,598,448,206.40","16,861,268.00","94.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,577,626,087.33","0.44","1,577,626,087.33","40,691,929.00","38.77","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","1,503,893,888.75","0.42","1,503,893,888.75","17,778,625.00","84.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,468,072,447.80","0.41","1,468,072,447.80","40,847,870.00","35.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","1,458,964,489.68","0.41","1,458,964,489.68","35,549,817.00","41.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","1,409,028,074.16","0.39","1,409,028,074.16","5,197,256.00","271.11","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,398,421,571.31","0.39","1,398,421,571.31","2,721,141.00","513.91","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","1,376,784,455.20","0.39","1,376,784,455.20","15,083,090.00","91.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,340,950,346.00","0.38","1,340,950,346.00","11,635,144.00","115.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","1,317,374,698.20","0.37","1,317,374,698.20","8,851,540.00","148.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,309,025,026.32","0.37","1,309,025,026.32","10,843,481.00","120.72","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,301,741,169.76","0.36","1,301,741,169.76","11,903,266.00","109.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,293,242,633.25","0.36","1,293,242,633.25","8,822,175.00","146.59","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,265,810,984.75","0.35","1,265,810,984.75","6,384,923.00","198.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","1,251,920,972.88","0.35","1,251,920,972.88","5,921,768.00","211.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,216,889,946.36","0.34","1,216,889,946.36","1,982,196.00","613.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
