abc-return,abc-risk
0.41157034139909004,0.2621660807373066
0.4103596974062263,0.26064039721190824
0.41148284075504554,0.2621703376442829
0.41090379843870156,0.2617594187514744
0.4115046255563219,0.26200564496696893
0.41128660306492626,0.26207259331376775
0.4107847625345168,0.2609002848469289
0.41061581162097205,0.2614442358671868
0.4113027061130095,0.2621234003705138
0.4119874784498885,0.26223745982326446
0.41039584127420015,0.260516340632935
0.41038102162903556,0.25959740179380414
0.3618379983589917,0.26712719443883554
0.4058710963928689,0.23338972932592694
0.3583676833001585,0.2565032330004414
0.4040418192459823,0.22818700648212653
0.3998520540840622,0.2171182510557864
0.4011898051548632,0.2191036469815155
0.39879072167168106,0.21502028399150824
0.4002294166870815,0.21699599830330335
0.3959851127605136,0.2087949656713171
0.3986520504710528,0.21348188677882318
0.3965877855484802,0.2099027049457806
0.39231099889265514,0.20305734530936664
0.3909366274762309,0.2006843081856375
0.38968628004148254,0.19873416278733674
0.38962278809007533,0.1997345167508688
0.3818822943162455,0.18954861783412036
0.37452735603978354,0.1805589288328992
0.3659335524053592,0.17253472076169474
0.36692697575436944,0.17368922665844574
0.36497850765862205,0.17177503221204252
0.3693622147006716,0.1807990178506467
0.35535660880094594,0.16653610611541622
0.3241327333939964,0.15939947551367345
0.31154231252436454,0.14434849002396052
0.2849262083029753,0.13349854624593147
0.24157542916208471,0.12628880552534788
0.19791153323925492,0.11792047824233043
0.10615956207305,0.10874972286217956
