iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"29-Apr-2015"
Total Net Assets,"$69,377,710,110"
Shares Outstanding,"330,600,000"
Stock,"99.66"
Bond,"0.00"
Cash,"0.26"
Other,"0.08"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Market Value,Shares,Price,Exchange,Notional Value
"QCOM","US7475251036","2714923","QUALCOMM INC","0.6056","Equity","Information Technology","$424,451,605","6,181,034","68.67","NASDAQ","424,451,604.78"
"ACT","IE00BD1NQJ95","BD1NQJ9","ACTAVIS PLC","0.6017","Equity","Health Care","$421,729,201","1,463,169","288.23","New York Stock Exchange Inc.","421,729,200.87"
"UNH","US91324P1021","2917766","UNITEDHEALTH GROUP INC","0.5793","Equity","Health Care","$405,993,969","3,573,576","113.61","New York Stock Exchange Inc.","405,993,969.36"
"MDT","IE00BTN1Y115","BTN1Y11","MEDTRONIC PLC","0.5767","Equity","Health Care","$404,172,263","5,339,837","75.69","New York Stock Exchange Inc.","404,172,262.53"
"BMY","US1101221083","2126335","BRISTOL MYERS SQUIBB","0.5713","Equity","Health Care","$400,403,778","6,228,088","64.29","New York Stock Exchange Inc.","400,403,777.52"
"ABBV","US00287Y1091","B92SR70","ABBVIE INC","0.5593","Equity","Health Care","$391,970,581","5,972,430","65.63","New York Stock Exchange Inc.","391,970,580.90"
"MMM","US88579Y1010","2595708","3M CO","0.5327","Equity","Industrials","$373,346,395","2,378,457","156.97","New York Stock Exchange Inc.","373,346,395.29"
"MO","US02209S1033","2692632","ALTRIA GROUP INC","0.5286","Equity","Consumer Staples","$370,435,589","7,379,195","50.20","New York Stock Exchange Inc.","370,435,589.00"
"BA","US0970231058","2108601","BOEING","0.5119","Equity","Industrials","$358,746,513","2,454,646","146.15","New York Stock Exchange Inc.","358,746,512.90"
"UTX","US9130171096","2915500","UNITED TECHNOLOGIES CORP","0.5098","Equity","Industrials","$357,267,709","3,096,444","115.38","New York Stock Exchange Inc.","357,267,708.72"
"UNP","US9078181081","2914734","UNION PACIFIC CORP","0.5038","Equity","Industrials","$353,076,249","3,302,247","106.92","New York Stock Exchange Inc.","353,076,249.24"
"MCD","US5801351017","2550707","MCDONALDS CORP","0.4986","Equity","Consumer Discretionary","$349,407,149","3,601,393","97.02","New York Stock Exchange Inc.","349,407,148.86"
"CELG","US1510201049","2182348","CELGENE CORP","0.4845","Equity","Health Care","$339,586,303","2,999,879","113.20","NASDAQ","339,586,302.80"
"BIIB","US09062X1037","2455965","BIOGEN INC INC","0.4814","Equity","Health Care","$337,388,674","879,120","383.78","NASDAQ","337,388,673.60"
"MA","US57636Q1040","B121557","MASTERCARD INC CLASS A","0.4710","Equity","Information Technology","$330,121,053","3,657,851","90.25","New York Stock Exchange Inc.","330,121,052.75"
"COP","US20825C1045","2685717","CONOCOPHILLIPS","0.4481","Equity","Energy","$314,055,860","4,614,397","68.06","New York Stock Exchange Inc.","314,055,859.82"
"GS","US38141G1040","2407966","GOLDMAN SACHS GROUP INC","0.4301","Equity","Financials","$301,423,412","1,518,047","198.56","New York Stock Exchange Inc.","301,423,412.32"
"HON","US4385161066","2020459","HONEYWELL INTERNATIONAL INC","0.4257","Equity","Industrials","$298,373,203","2,932,703","101.74","New York Stock Exchange Inc.","298,373,203.22"
"AIG","US0268747849","2027342","AMERICAN INTERNATIONAL GROUP INC","0.4157","Equity","Financials","$291,330,556","5,142,640","56.65","New York Stock Exchange Inc.","291,330,556.00"
"USB","US9029733048","2736035","US BANCORP","0.4093","Equity","Financials","$286,860,511","6,674,279","42.98","New York Stock Exchange Inc.","286,860,511.42"
"SBUX","US8552441094","2842255","STARBUCKS CORP N1","0.4061","Equity","Consumer Discretionary","$284,609,441","5,619,140","50.65","NASDAQ","284,609,441.00"
"WBA","US9314271084","BTN1Y44","WALGREEN BOOTS ALLIANCE","0.3943","Equity","Consumer Staples","$276,322,919","3,267,387","84.57","NASDAQ","276,322,918.59"
"KMI","US49456B1017","B3NQ4P8","KINDER MORGAN INC","0.3924","Equity","Energy","$275,010,650","6,385,202","43.07","New York Stock Exchange Inc.","275,010,650.14"
"ABT","US0028241000","2002305","ABBOTT LABORATORIES","0.3806","Equity","Health Care","$266,712,388","5,654,280","47.17","New York Stock Exchange Inc.","266,712,387.60"
"TWX","US8873173038","B63QTN2","TIME WARNER INC","0.3794","Equity","Consumer Discretionary","$265,923,818","3,112,040","85.45","New York Stock Exchange Inc.","265,923,818.00"
"LLY","US5324571083","2516152","ELI LILLY","0.3779","Equity","Health Care","$264,819,392","3,663,799","72.28","New York Stock Exchange Inc.","264,819,391.72"
"UPS","US9113121068","2517382","UNITED PARCEL SERVICE INC CLASS B","0.3762","Equity","Industrials","$263,661,075","2,604,060","101.25","New York Stock Exchange Inc.","263,661,075.00"
"NKE","US6541061031","2640147","NIKE INC CLASS B","0.3748","Equity","Consumer Discretionary","$262,663,370","2,622,176","100.17","New York Stock Exchange Inc.","262,663,369.92"
"LOW","US5486611073","2536763","LOWES COMPANIES INC","0.3664","Equity","Consumer Discretionary","$256,794,796","3,645,582","70.44","New York Stock Exchange Inc.","256,794,796.08"
"AXP","US0258161092","2026082","AMERICAN EXPRESS","0.3616","Equity","Financials","$253,415,739","3,284,289","77.16","New York Stock Exchange Inc.","253,415,739.24"
"DD","US2635341090","2018175","E I DU PONT DE NEMOURS","0.3591","Equity","Materials","$251,668,335","3,392,671","74.18","New York Stock Exchange Inc.","251,668,334.78"
"PCLN","US7415034039","2779063","PRICELINE GROUP INC/THE","0.3467","Equity","Consumer Discretionary","$242,987,513","194,622","1,248.51","NASDAQ","242,987,513.22"
"EBAY","US2786421030","2293819","EBAY INC","0.3466","Equity","Information Technology","$242,944,003","4,126,087","58.88","NASDAQ","242,944,002.56"
"MDLZ","US6092071058","B8CKK03","MONDELEZ INTERNATIONAL INC CLASS A","0.3413","Equity","Consumer Staples","$239,195,722","6,180,768","38.70","NASDAQ","239,195,721.60"
"COST","US22160K1051","2701271","COSTCO WHOLESALE CORP","0.3398","Equity","Consumer Staples","$238,160,656","1,648,627","144.46","NASDAQ","238,160,656.42"
"F","US3453708600","2615468","F MOTOR","0.3388","Equity","Consumer Discretionary","$237,469,170","14,823,294","16.02","New York Stock Exchange Inc.","237,469,169.88"
"FOXA","US90130A1016","BBM4S68","TWENTY FIRST CENTURY FOX INC CLASS","0.3384","Equity","Consumer Discretionary","$237,198,307","6,851,482","34.62","NASDAQ","237,198,306.84"
"OXY","US6745991058","2655408","OCCIDENTAL PETROLEUM CORP","0.3300","Equity","Energy","$231,303,766","2,887,327","80.11","New York Stock Exchange Inc.","231,303,765.97"
"ESRX","US30219G1085","B7QQYV9","EXPRESS SCRIPTS HOLDING CO","0.3295","Equity","Health Care","$230,947,441","2,723,758","84.79","NASDAQ","230,947,440.82"
"HPQ","US4282361033","2424006","HEWLETT PACKARD","0.3238","Equity","Information Technology","$226,928,292","6,810,573","33.32","New York Stock Exchange Inc.","226,928,292.36"
"ACN","IE00B4BNMY34","B4BNMY3","ACCENTURE PLC","0.3145","Equity","Information Technology","$220,420,446","2,353,662","93.65","New York Stock Exchange Inc.","220,420,446.30"
"CL","US1941621039","2209106","COLGATE-PALMOLIVE","0.3123","Equity","Consumer Staples","$218,888,765","3,194,990","68.51","New York Stock Exchange Inc.","218,888,764.90"
"MET","US59156R1086","2573209","METLIFE INC","0.3115","Equity","Financials","$218,318,887","4,187,167","52.14","New York Stock Exchange Inc.","218,318,887.38"
"MS","US6174464486","2262314","MORGAN STANLEY","0.3090","Equity","Financials","$216,584,379","5,777,124","37.49","New York Stock Exchange Inc.","216,584,378.76"
"TXN","US8825081040","2885409","TEXAS INSTRUMENTS INCORPORATED","0.3080","Equity","Information Technology","$215,884,615","3,923,748","55.02","NASDAQ","215,884,614.96"
"SPG","US8288061091","2812452","SIMON PROPERTY GROUP REIT INC","0.3043","Equity","Financials","$213,271,401","1,164,781","183.10","New York Stock Exchange Inc.","213,271,401.10"
"DOW","US2605431038","2278719","DOW CHEMICAL","0.3003","Equity","Materials","$210,451,439","4,077,726","51.61","New York Stock Exchange Inc.","210,451,438.86"
"MON","US61166W1018","2654320","MONSANTO","0.2972","Equity","Materials","$208,255,800","1,810,920","115.00","New York Stock Exchange Inc.","208,255,800.00"
"DUK","US26441C2044","B7VD3F2","DUKE ENERGY CORP","0.2967","Equity","Utilities","$207,939,734","2,651,278","78.43","New York Stock Exchange Inc.","207,939,733.54"
"EOG","US26875P1012","2318024","EOG RESOURCES INC","0.2925","Equity","Energy","$204,973,679","2,055,080","99.74","New York Stock Exchange Inc.","204,973,679.20"
"EMC","US2686481027","2295172","EMC CORP","0.2878","Equity","Information Technology","$201,734,301","7,449,568","27.08","New York Stock Exchange Inc.","201,734,301.44"
"CAT","US1491231015","2180201","CATERPILLAR INC","0.2836","Equity","Industrials","$198,745,050","2,271,372","87.50","New York Stock Exchange Inc.","198,745,050.00"
"MCK","US58155Q1031","2378534","MCKESSON CORP","0.2806","Equity","Health Care","$196,660,598","872,496","225.40","New York Stock Exchange Inc.","196,660,598.40"
"LMT","US5398301094","2522096","LOCKHEED MARTIN CORP","0.2744","Equity","Industrials","$192,274,952","1,005,149","191.29","New York Stock Exchange Inc.","192,274,952.21"
"DHR","US2358511028","2250870","DANAHER CORP","0.2718","Equity","Industrials","$190,508,062","2,300,822","82.80","New York Stock Exchange Inc.","190,508,061.60"
"TMO","US8835561023","2886907","THERMO FISHER SCIENTIFIC INC","0.2697","Equity","Health Care","$189,015,358","1,486,788","127.13","New York Stock Exchange Inc.","189,015,358.44"
"TGT","US87612E1064","2259101","TARGET CORP","0.2686","Equity","Consumer Discretionary","$188,244,629","2,386,771","78.87","New York Stock Exchange Inc.","188,244,628.77"
"KRFT","US50076Q1067","B8P0S06","KRAFT FOODS GROUP INC","0.2675","Equity","Consumer Staples","$187,454,297","2,203,271","85.08","NASDAQ","187,454,296.68"
"GM","US37045V1008","B665KZ5","GENERAL MOTORS","0.2568","Equity","Consumer Discretionary","$179,990,709","5,068,733","35.51","New York Stock Exchange Inc.","179,990,708.83"
"PNC","US6934751057","2692665","PNC FINANCIAL SERVICES GROUP INC","0.2557","Equity","Financials","$179,226,393","1,951,082","91.86","New York Stock Exchange Inc.","179,226,392.52"
"BK","US0640581007","B1Z77F6","BANK OF NEW YORK MELLON CORP","0.2552","Equity","Financials","$178,892,540","4,173,881","42.86","New York Stock Exchange Inc.","178,892,539.66"
"APC","US0325111070","2032380","ANADARKO PETROLEUM CORP","0.2544","Equity","Energy","$178,267,084","1,898,478","93.90","New York Stock Exchange Inc.","178,267,084.20"
"BLK","US09247X1019","2494504","BLACKROCK INC.","0.2487","Equity","Financials","$174,300,618","475,361","366.67","New York Stock Exchange Inc.","174,300,617.87"
"DTV","US25490A3095","B84LSN3","DIRECTV","0.2454","Equity","Consumer Discretionary","$171,957,335","1,884,051","91.27","NASDAQ","171,957,334.77"
"NEE","US65339F1012","2328915","NEXTERA ENERGY INC","0.2435","Equity","Utilities","$170,653,509","1,661,670","102.70","New York Stock Exchange Inc.","170,653,509.00"
"CRM","US79466L3024","2310525","SALESFORCE.COM INC","0.2415","Equity","Information Technology","$169,248,122","2,267,222","74.65","New York Stock Exchange Inc.","169,248,122.30"
"FDX","US31428X1063","2142784","FEDEX CORP","0.2389","Equity","Industrials","$167,415,613","987,295","169.57","New York Stock Exchange Inc.","167,415,613.15"
"TWC","US88732J2078","B63BPC8","TIME WARNER CABLE INC","0.2371","Equity","Consumer Discretionary","$166,157,753","1,052,564","157.86","New York Stock Exchange Inc.","166,157,753.04"
"COF","US14040H1059","2654461","CAPITAL ONE FINANCIAL CORP","0.2370","Equity","Financials","$166,093,914","2,066,873","80.36","New York Stock Exchange Inc.","166,093,914.28"
"PSX","US7185461040","B78C4Y8","PHILLIPS 66","0.2354","Equity","Energy","$164,960,469","2,036,549","81.00","New York Stock Exchange Inc.","164,960,469.00"
"TJX","US8725401090","2989301","TJX INC","0.2344","Equity","Consumer Discretionary","$164,310,039","2,558,151","64.23","New York Stock Exchange Inc.","164,310,038.73"
"GD","US3695501086","2365161","GENERAL DYNAMICS CORP","0.2334","Equity","Industrials","$163,574,423","1,180,787","138.53","New York Stock Exchange Inc.","163,574,423.11"
"D","US25746U1097","2542049","DOMINION RESOURCES INC","0.2274","Equity","Utilities","$159,336,548","2,203,825","72.30","New York Stock Exchange Inc.","159,336,547.50"
"HAL","US4062161017","2405302","HALLIBURTON","0.2236","Equity","Energy","$156,675,979","3,183,824","49.21","New York Stock Exchange Inc.","156,675,979.04"
"LYB","NL0009434992","B3SPXZ3","LYONDELLBASELL INDUSTRIES NV CLASS","0.2212","Equity","Materials","$155,000,875","1,483,972","104.45","New York Stock Exchange Inc.","155,000,875.40"
"SO","US8425871071","2829601","SOUTHERN","0.2172","Equity","Utilities","$152,230,514","3,409,418","44.65","New York Stock Exchange Inc.","152,230,513.70"
"ADP","US0530151036","2065308","AUTOMATIC DATA PROCESSING INC","0.2169","Equity","Information Technology","$152,032,882","1,780,453","85.39","NASDAQ","152,032,881.67"
"EMR","US2910111044","2313405","EMERSON ELECTRIC","0.2165","Equity","Industrials","$151,715,880","2,567,539","59.09","New York Stock Exchange Inc.","151,715,879.51"
"KMB","US4943681035","2491839","KIMBERLY CLARK CORP","0.2164","Equity","Consumer Staples","$151,626,168","1,369,456","110.72","New York Stock Exchange Inc.","151,626,168.32"
"ANTM","US0367521038","BSPHGL4","ANTHEM INC","0.2155","Equity","Health Care","$151,021,960","999,682","151.07","New York Stock Exchange Inc.","151,021,959.74"
"AMT","US03027X1000","B7FBFL2","AMERICAN TOWER REIT CORP","0.2113","Equity","Financials","$148,062,144","1,583,383","93.51","New York Stock Exchange Inc.","148,062,144.33"
"AET","US00817Y1082","2695921","AETNA INC","0.2031","Equity","Health Care","$142,342,599","1,317,865","108.01","New York Stock Exchange Inc.","142,342,598.65"
"BAX","US0718131099","2085102","BAXTER INTERNATIONAL INC","0.2023","Equity","Health Care","$141,810,399","2,033,124","69.75","New York Stock Exchange Inc.","141,810,399.00"
"YHOO","US9843321061","2986539","YAHOO! INC","0.2015","Equity","Information Technology","$141,188,752","3,262,217","43.28","NASDAQ","141,188,751.76"
"PRU","US7443201022","2819118","PRUDENTIAL FINANCIAL INC","0.2003","Equity","Financials","$140,382,776","1,701,197","82.52","New York Stock Exchange Inc.","140,382,776.44"
"YUM","US9884981013","2098876","YUM BRANDS INC","0.1997","Equity","Consumer Discretionary","$139,978,748","1,622,942","86.25","New York Stock Exchange Inc.","139,978,747.50"
"DAL","US2473617023","B1W9D46","DELTA AIR LINES INC","0.1984","Equity","Industrials","$139,081,955","3,088,651","45.03","New York Stock Exchange Inc.","139,081,954.53"
"CSX","US1264081035","2160753","CSX CORP","0.1957","Equity","Industrials","$137,150,271","3,711,780","36.95","New York Stock Exchange Inc.","137,150,271.00"
"CTSH","US1924461023","2257019","COGNIZANT TECHNOLOGY SOLUTIONS COR","0.1953","Equity","Information Technology","$136,876,155","2,284,315","59.92","NASDAQ","136,876,154.80"
